gene,root_control_1,root_control_2,root_control_3,root_MeJA_1,root_MeJA_2,root_MeJA_3
AT1G01010,2029,1481,2694,1634,1239,1428
AT1G01020,1626,1608,1895,1384,1764,1198
AT1G01030,150,230,375,242,281,388
AT1G01040,3174,2599,4260,2980,2221,2860
AT1G01046,70,42,115,97,49,54
AT1G01050,9025,8165,9355,7374,7591,5464
AT1G01060,2512,2057,2796,1763,1529,1695
AT1G01070,1606,748,1225,1076,580,568
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,664,509,554
AT1G01090,11777,11072,16546,8160,6708,8825
AT1G01100,32908,34170,31402,25941,34025,20408
AT1G01110,1421,1334,1447,1202,1331,1263
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,2869,2192,3031
AT1G01130,358,296,405,188,205,167
AT1G01140,295,279,318,591,190,177
AT1G01150,42,17,23,8,3,11
AT1G01160,3521,3220,3754,3014,3397,2716
AT1G01170,790,663,1056,799,864,551
AT1G01180,428,384,523,693,385,409
AT1G01183,3,3,8,6,5,1
AT1G01190,614,284,816,175,114,335
AT1G01200,640,644,844,730,853,624
AT1G01210,1628,1409,1744,1305,1523,995
AT1G01220,2412,2296,2828,2346,1980,2057
AT1G01225,576,467,672,423,351,423
AT1G01230,2577,2449,3049,2756,2222,1761
AT1G01240,830,754,925,1022,610,583
AT1G01250,0,2,2,0,6,4
AT1G01260,2275,2072,3115,3015,2708,3074
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,0,0,0
AT1G01290,1520,1577,1779,1419,1506,1139
AT1G01300,8644,8468,10808,7992,8464,7960
AT1G01305,4,0,0,4,4,0
AT1G01310,19,16,13,23,27,10
AT1G01320,2492,2063,2730,2009,1674,1803
AT1G01340,2413,1412,2665,2084,924,1651
AT1G01350,2646,2627,3407,2466,2636,2259
AT1G01355,0,2,0,0,0,0
AT1G01360,1205,1156,1442,1055,1119,863
AT1G01370,919,915,987,624,668,589
AT1G01380,152,208,214,125,139,87
AT1G01390,18,9,10,5,10,6
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,2
AT1G01420,202,98,248,223,120,180
AT1G01430,1531,1631,2227,2452,2347,2157
AT1G01440,1364,1214,1762,1526,1098,1287
AT1G01448,1047,957,1271,1091,1062,955
AT1G01450,581,581,723,611,615,536
AT1G01453,81,112,169,111,69,91
AT1G01460,0,2,0,2,0,4
AT1G01470,8728,6658,7998,7316,6147,4143
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,324,245,242
AT1G01490,6590,5587,7610,6987,5526,4705
AT1G01500,629,571,768,743,493,458
AT1G01510,5284,4921,5193,4225,4334,3461
AT1G01520,32,14,15,16,17,30
AT1G01530,0,0,3,2,0,0
AT1G01540,4552,4258,5746,3869,3734,3572
AT1G01550,13703,12632,18579,15747,11934,12561
AT1G01560,74,79,108,93,34,64
AT1G01570,245,143,308,145,89,124
AT1G01580,6641,3089,3617,1575,241,717
AT1G01590,2,0,2,3,1,2
AT1G01600,1020,1435,1382,535,597,614
AT1G01610,2517,2335,3636,1849,1248,1608
AT1G01620,15749,14156,18631,14756,11901,10610
AT1G01630,5102,4765,6474,5299,4264,4705
AT1G01640,2466,1534,2389,2013,1691,1544
AT1G01650,3401,2892,4055,5429,4539,3993
AT1G01660,170,221,391,314,156,291
AT1G01670,155,113,227,196,117,119
AT1G01680,199,123,108,142,70,42
AT1G01690,998,911,1066,698,609,564
AT1G01695,34,48,40,17,28,24
AT1G01700,288,193,251,246,156,176
AT1G01710,2934,2398,3155,4229,3684,3312
AT1G01720,2906,2709,4123,3941,3499,4029
AT1G01725,641,506,812,890,778,516
AT1G01730,3172,2969,3523,3116,2782,2202
AT1G01740,718,660,792,539,592,516
AT1G01750,1820,2842,3994,3476,2756,2994
AT1G01760,670,593,659,601,608,527
AT1G01770,1338,1128,1468,1678,1145,1097
AT1G01780,1034,1010,1635,1305,816,991
AT1G01790,1542,1220,1788,1404,937,1331
AT1G01800,6205,4871,6641,10978,9859,8731
AT1G01810,114,84,125,96,96,89
AT1G01820,4671,4031,4764,5420,4182,3476
AT1G01830,1238,1226,1728,1451,1325,1331
AT1G01840,197,170,212,150,180,132
AT1G01860,535,503,658,443,462,397
AT1G01870,1,0,0,2,2,0
AT1G01880,216,193,173,227,148,145
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,213,149,212
AT1G01910,5189,4882,5543,4803,4303,3962
AT1G01920,3116,3671,3160,2349,3333,2381
AT1G01930,1419,1192,1556,1266,1071,1023
AT1G01940,2217,2029,2211,1723,2073,1411
AT1G01950,2409,2306,2917,2009,1645,1853
AT1G01960,12478,10894,15065,10788,8739,10447
AT1G01970,501,446,528,526,431,405
AT1G01980,0,2,1,0,2,2
AT1G01990,1817,1437,1891,1809,1755,1290
AT1G02000,1196,1078,1677,1377,1288,1258
AT1G02010,937,753,1002,829,733,784
AT1G02020,630,554,908,644,457,622
AT1G02030,115,96,155,50,46,66
AT1G02040,12,13,13,17,1,12
AT1G02050,1016,970,806,667,874,618
AT1G02060,1166,946,1045,871,847,703
AT1G02065,0,0,3,0,0,0
AT1G02070,19,9,17,26,8,18
AT1G02074,0,0,0,2,0,0
AT1G02080,13048,11056,16560,11920,9166,12319
AT1G02090,4269,4076,5281,3770,3731,3392
AT1G02100,3927,3725,4609,3872,3588,2963
AT1G02110,3073,2664,3083,2037,2401,1811
AT1G02120,5841,4665,6821,5613,3803,4796
AT1G02130,4329,3896,4891,3947,3689,3275
AT1G02140,8821,8529,9936,8124,8354,6242
AT1G02145,2202,2258,2795,2139,2084,1806
AT1G02150,2373,2364,2515,1788,1704,1531
AT1G02160,1528,1409,1554,1411,1689,917
AT1G02170,2904,2387,3401,3267,2415,2601
AT1G02180,387,296,432,435,435,312
AT1G02190,2,0,4,0,0,5
AT1G02205,72,60,123,45,15,27
AT1G02210,0,0,0,0,0,0
AT1G02220,6724,6360,8373,6187,4477,4150
AT1G02230,320,328,410,285,194,120
AT1G02250,12,18,9,8,10,6
AT1G02260,1926,1755,2193,2067,1689,1605
AT1G02270,1461,1216,1919,1440,1004,1139
AT1G02280,1808,1759,1844,1458,1757,1163
AT1G02290,1176,1045,1347,1005,967,829
AT1G02300,387,394,444,398,322,244
AT1G02305,6554,5096,6566,7949,5368,4625
AT1G02310,324,209,327,726,581,540
AT1G02320,3,0,3,5,1,6
AT1G02330,3510,2943,3915,2907,2563,2549
AT1G02335,540,770,2128,711,777,1420
AT1G02340,563,603,836,446,435,421
AT1G02350,149,169,161,90,116,69
AT1G02360,5803,4824,7220,4933,2437,3103
AT1G02370,1314,1236,1464,877,939,878
AT1G02380,350,329,427,339,222,253
AT1G02390,547,623,625,288,251,290
AT1G02391,0,0,0,2,0,0
AT1G02400,1156,1230,1484,1000,920,720
AT1G02405,10,8,6,6,4,4
AT1G02410,2599,2246,2941,2428,2353,1920
AT1G02420,521,582,632,374,364,380
AT1G02430,573,595,635,332,362,297
AT1G02440,107,54,97,44,14,14
AT1G02450,21,18,34,12,8,7
AT1G02460,301,157,483,500,310,629
AT1G02470,50,53,64,43,59,30
AT1G02475,579,458,750,640,537,492
AT1G02480,0,0,0,0,0,0
AT1G02490,13,22,15,9,17,18
AT1G02500,55378,51779,69626,84054,77896,76326
AT1G02510,2,0,0,3,1,1
AT1G02520,5462,4592,6536,5834,3059,3758
AT1G02530,206,186,217,133,115,121
AT1G02540,1,0,1,1,0,1
AT1G02550,0,0,2,0,0,2
AT1G02560,5535,4882,6168,5621,5145,4579
AT1G02570,73,125,207,199,83,143
AT1G02575,22,18,47,70,32,44
AT1G02580,157,139,153,291,64,103
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,200,138,238,297,152,194
AT1G02620,0,0,0,0,0,0
AT1G02630,0,2,0,0,0,0
AT1G02640,1376,1543,2184,1115,676,928
AT1G02650,149,148,173,130,141,87
AT1G02660,336,336,358,472,332,308
AT1G02670,191,249,299,202,211,185
AT1G02680,1224,1125,1367,1057,1170,924
AT1G02690,6431,5794,6475,3985,4146,3524
AT1G02700,23,13,41,18,25,20
AT1G02710,41,41,110,36,24,53
AT1G02720,1438,1542,2036,1137,1358,1313
AT1G02730,7893,6255,7629,5661,4063,4853
AT1G02740,767,651,1007,661,458,561
AT1G02750,1412,1146,1611,1205,1155,970
AT1G02760,0,1,0,0,0,1
AT1G02770,7,10,22,20,16,6
AT1G02780,103904,100213,104679,78278,89644,65614
AT1G02790,1,0,0,0,2,0
AT1G02800,9,17,16,17,6,11
AT1G02810,4098,3266,4475,3084,2085,2501
AT1G02813,25,6,32,22,14,16
AT1G02816,1800,1648,2227,1905,1846,1438
AT1G02820,44,36,60,8,10,17
AT1G02830,9,2,15,2,0,3
AT1G02840,10825,9729,11176,10639,10369,8678
AT1G02850,3069,2965,4515,4608,5374,5050
AT1G02860,2139,2004,2507,2696,1660,1617
AT1G02870,3662,3460,3643,2787,3216,2487
AT1G02880,2698,2534,3840,3199,3465,3322
AT1G02890,10205,9010,12900,10160,7725,8909
AT1G02900,4482,3326,6083,4163,2611,3105
AT1G02910,994,948,1129,950,820,743
AT1G02920,31673,24993,33583,42865,21720,17565
AT1G02930,22935,16425,24930,24697,12461,11868
AT1G02940,12,6,14,4,3,2
AT1G02950,1347,1059,1676,1184,1351,1085
AT1G02952,1181,964,1526,1059,1225,1008
AT1G02960,1915,1784,2256,1824,1779,1471
AT1G02965,1,4,5,8,3,0
AT1G02970,795,778,855,478,411,448
AT1G02980,89,85,121,82,66,70
AT1G02990,1877,1726,2560,2304,1749,2050
AT1G03000,1922,1649,2259,1796,1364,1497
AT1G03010,210,247,438,168,178,178
AT1G03020,0,0,1,0,0,0
AT1G03022,0,0,0,0,0,0
AT1G03030,1788,1690,1950,1870,1817,1467
AT1G03040,4729,3728,5902,4538,4458,4670
AT1G03050,4,18,18,15,5,9
AT1G03055,14,9,8,9,4,6
AT1G03060,6589,5627,7628,6475,4232,6014
AT1G03070,67,110,228,73,127,144
AT1G03080,9747,8981,12793,16337,11265,13833
AT1G03090,2283,2005,2367,3823,2218,2436
AT1G03100,650,563,684,548,432,393
AT1G03103,0,0,0,0,4,0
AT1G03106,38,28,24,30,12,14
AT1G03110,2808,2699,2994,2031,1837,1740
AT1G03120,22,24,23,11,19,21
AT1G03130,156,145,170,272,160,171
AT1G03140,4631,4470,4877,4322,4306,3196
AT1G03150,1913,1866,2412,2005,1739,1451
AT1G03160,1338,1015,1533,997,770,838
AT1G03170,34,31,82,31,46,57
AT1G03180,603,765,805,588,652,521
AT1G03190,1474,1327,1641,1232,1160,1127
AT1G03200,170,149,200,218,242,205
AT1G03210,3052,3267,3402,3029,3163,2452
AT1G03220,43879,39517,49135,58116,41291,35707
AT1G03230,9203,9020,12490,9909,11007,11022
AT1G03240,21,33,20,21,5,11
AT1G03250,1778,1713,2204,1858,1706,1535
AT1G03260,1081,1043,1320,984,963,903
AT1G03270,398,317,352,273,285,253
AT1G03280,3717,3469,4552,3959,3304,3400
AT1G03290,3076,2666,3779,3157,2652,2444
AT1G03300,367,324,394,194,163,146
AT1G03310,1216,1048,1342,1049,1077,854
AT1G03320,4,4,8,2,0,2
AT1G03330,3791,3386,3704,3452,3598,2521
AT1G03340,210,197,217,303,176,119
AT1G03350,4229,3978,5208,4095,3383,3333
AT1G03360,2499,2365,2707,1677,1965,1564
AT1G03365,1814,1910,2547,1835,1714,1589
AT1G03370,3268,3066,4321,3664,2335,3171
AT1G03380,3749,2841,3978,4206,2456,2911
AT1G03390,3,6,8,2,3,9
AT1G03400,91,60,88,61,39,36
AT1G03410,3097,3020,3213,2925,3544,2714
AT1G03430,1365,1295,1775,1374,1133,934
AT1G03440,742,624,744,580,443,437
AT1G03445,29,18,28,20,8,19
AT1G03457,1130,1009,1379,2699,2370,1900
AT1G03470,881,749,890,707,629,456
AT1G03475,2789,2480,3290,2553,2364,2209
AT1G03490,0,0,0,1,2,0
AT1G03495,516,547,676,371,378,443
AT1G03502,33,15,24,16,18,24
AT1G03506,52,30,35,45,34,26
AT1G03510,202,129,202,168,164,162
AT1G03515,0,0,0,0,0,0
AT1G03520,728,634,966,684,550,539
AT1G03530,3358,2919,3814,1938,1803,2136
AT1G03540,225,167,214,156,70,160
AT1G03545,858,981,1056,1061,654,747
AT1G03550,1052,1180,1254,1245,791,913
AT1G03560,1086,1048,1434,895,808,956
AT1G03570,0,1,0,0,0,0
AT1G03590,2986,3439,4199,3410,3477,3516
AT1G03600,256,186,180,334,276,157
AT1G03610,1906,1668,1803,2405,1507,1109
AT1G03620,277,231,359,164,153,142
AT1G03630,181,136,213,146,132,151
AT1G03640,0,0,0,0,0,0
AT1G03650,397,389,365,262,336,264
AT1G03660,169,129,160,144,74,55
AT1G03670,4,0,4,0,0,2
AT1G03680,1063,858,1176,901,900,667
AT1G03687,1617,1407,1516,1351,1541,1087
AT1G03700,82,122,187,115,85,77
AT1G03710,12,12,10,24,26,13
AT1G03720,0,2,2,2,1,1
AT1G03730,1411,1080,2148,1560,1155,1425
AT1G03740,4338,3525,5228,7166,3790,4706
AT1G03743,6,3,3,0,3,1
AT1G03746,15,3,3,2,3,1
AT1G03750,918,839,1138,932,783,907
AT1G03760,1538,1521,1628,1339,1615,1182
AT1G03770,1537,1535,1693,1532,1667,1304
AT1G03780,3070,2842,3023,2391,2020,2013
AT1G03790,20,21,26,17,23,25
AT1G03800,75,86,94,34,59,58
AT1G03810,0,0,0,0,0,0
AT1G03820,5061,4613,7461,1488,1242,1833
AT1G03830,2181,1751,2259,1508,1325,1480
AT1G03840,2281,1811,2493,1670,1505,1704
AT1G03850,2256,2203,2510,3987,1718,1280
AT1G03860,9656,10088,11006,8117,9286,7622
AT1G03870,8193,11246,16979,8017,7455,10553
AT1G03880,20,8,14,6,4,6
AT1G03890,0,0,1,2,0,0
AT1G03900,11232,9968,12345,11072,9685,8308
AT1G03905,1288,1229,1819,1189,1259,1277
AT1G03910,5147,5061,5744,4109,3829,3827
AT1G03920,434,547,1007,889,813,872
AT1G03930,1846,1755,2488,2203,2163,2122
AT1G03935,57,58,65,85,81,44
AT1G03940,485,589,675,305,379,418
AT1G03950,1098,935,1276,1550,1023,855
AT1G03960,1294,1165,1696,1273,1060,1172
AT1G03970,1494,1345,1919,1881,1407,1339
AT1G03980,1345,1243,1635,1610,1162,1167
AT1G03982,1,0,1,4,0,2
AT1G03990,347,254,373,289,276,341
AT1G04000,1209,997,1732,898,881,1060
AT1G04010,1449,1290,1741,1492,1368,1292
AT1G04020,2010,2000,2262,1229,1264,1442
AT1G04030,11196,10693,13459,11536,9233,8768
AT1G04040,22609,25479,30478,24348,19916,20223
AT1G04050,686,669,812,652,505,477
AT1G04070,1309,1174,1512,1154,1045,821
AT1G04080,12086,10531,12058,9478,8852,8722
AT1G04090,90,132,170,109,108,87
AT1G04100,419,408,648,734,506,499
AT1G04110,12,16,16,15,14,7
AT1G04120,15907,13682,19761,17063,14270,17095
AT1G04130,1539,1552,1811,1252,1552,1145
AT1G04140,9922,8946,11406,9401,8094,8504
AT1G04150,72,66,29,55,65,38
AT1G04160,1355,1166,1724,1218,885,1271
AT1G04170,13944,13956,15505,10418,10584,10277
AT1G04171,5,0,0,0,0,0
AT1G04180,734,428,755,1101,1036,948
AT1G04190,5477,4939,5989,4157,3868,3548
AT1G04200,4759,4182,5871,4088,3138,3924
AT1G04210,7195,6912,8754,5625,5272,6028
AT1G04220,2211,2049,3999,2163,1868,2624
AT1G04230,1210,1148,1280,1156,1142,894
AT1G04240,364,243,500,270,210,268
AT1G04250,5477,6171,11270,4806,5244,6153
AT1G04260,1473,1209,1763,1410,1320,1058
AT1G04270,51860,47658,49983,36185,42713,30627
AT1G04280,4049,3928,5702,4322,2413,3295
AT1G04290,1565,1356,1791,1612,1242,1135
AT1G04295,1297,1214,1572,1339,1100,1006
AT1G04300,6807,5711,7360,6249,4822,5300
AT1G04310,681,593,883,487,416,572
AT1G04320,0,0,0,1,0,0
AT1G04330,324,227,495,54,50,82
AT1G04340,3713,3344,3962,2701,2806,2469
AT1G04350,235,313,286,244,190,128
AT1G04360,1065,922,1683,1048,634,987
AT1G04370,57,32,59,10,10,32
AT1G04380,43,33,51,17,18,14
AT1G04390,1096,973,1101,971,974,910
AT1G04400,6836,6623,8947,8899,6518,6246
AT1G04410,84907,79865,97134,80679,68578,64473
AT1G04420,499,569,608,482,412,349
AT1G04425,1013,801,1096,706,756,702
AT1G04430,11811,12204,16760,9430,8941,10452
AT1G04440,7516,7056,9921,11087,8335,8062
AT1G04445,24,28,29,13,19,16
AT1G04450,3,1,0,2,0,2
AT1G04470,4,8,6,8,10,3
AT1G04480,19666,19000,20807,15257,19435,12471
AT1G04490,296,257,419,190,148,188
AT1G04500,9,17,25,9,6,8
AT1G04501,0,0,0,0,0,0
AT1G04510,6399,5860,7202,5324,4827,4928
AT1G04520,3691,3658,4444,2090,2383,2251
AT1G04530,2338,2159,3086,2417,1954,1839
AT1G04540,589,626,797,565,525,446
AT1G04550,1572,1258,1924,1225,1196,1039
AT1G04555,673,594,872,813,642,549
AT1G04560,0,0,2,2,0,0
AT1G04570,77,80,82,49,64,64
AT1G04580,15,16,17,5,12,14
AT1G04590,3711,3443,3881,2758,3020,2508
AT1G04600,240,192,224,212,188,156
AT1G04610,422,293,609,190,253,383
AT1G04620,188,170,226,201,123,139
AT1G04625,364,225,329,317,286,186
AT1G04630,3667,3545,4274,3543,3833,2894
AT1G04635,442,438,536,342,341,269
AT1G04640,623,520,552,474,510,364
AT1G04645,0,0,0,0,0,0
AT1G04650,491,448,529,326,240,349
AT1G04660,8,12,20,18,6,5
AT1G04670,6,8,17,2,6,6
AT1G04680,8655,8523,11989,4811,4483,5071
AT1G04684,0,0,0,0,0,0
AT1G04690,9385,9222,11346,7453,7232,6807
AT1G04700,349,507,713,520,328,593
AT1G04710,1293,1179,1353,1149,1042,1037
AT1G04720,0,0,3,0,1,0
AT1G04730,1300,1244,1532,968,903,1001
AT1G04750,10027,8923,11706,9047,8870,7650
AT1G04760,367,354,436,250,269,237
AT1G04770,3399,3864,4055,3898,4641,3847
AT1G04778,128,92,112,114,102,79
AT1G04780,6126,4918,6628,5594,4345,4492
AT1G04790,2373,2179,2795,2023,1938,1936
AT1G04800,28,11,16,14,6,8
AT1G04810,7520,6045,7992,6693,5487,6134
AT1G04820,49813,53788,64597,37484,37692,39606
AT1G04830,2080,1944,2594,2151,1926,1687
AT1G04840,191,198,248,131,120,151
AT1G04850,13601,12599,15555,14186,12077,11108
AT1G04860,4154,3714,4570,3603,3150,3217
AT1G04870,6569,5655,6119,4322,4584,3780
AT1G04880,84,78,89,74,60,53
AT1G04890,1,0,0,0,0,0
AT1G04900,2730,2840,2656,2182,2235,1727
AT1G04910,3282,3053,4316,2714,2616,2463
AT1G04920,22,16,11,24,16,12
AT1G04930,596,639,837,601,551,511
AT1G04940,1487,1380,1696,1342,1337,1168
AT1G04945,2907,2807,3368,2554,2415,2211
AT1G04950,2602,2277,2733,2297,2587,2171
AT1G04960,2193,2163,2725,2856,2256,2004
AT1G04970,3467,3179,3911,4215,3374,2974
AT1G04980,3140,3680,4711,5927,8132,5583
AT1G04985,2367,2317,2575,2229,2615,1768
AT1G04990,3088,2763,4452,2829,2783,2833
AT1G05000,2982,2185,4497,2527,2055,2082
AT1G05010,2627,2448,3767,6247,3551,3091
AT1G05020,20,66,90,49,18,45
AT1G05030,662,669,957,743,796,590
AT1G05040,0,0,3,0,0,2
AT1G05055,1387,1223,1643,1202,1150,1047
AT1G05060,1585,1633,2776,1728,1310,1421
AT1G05065,162,110,150,156,103,84
AT1G05070,1640,1629,1866,1293,1794,1384
AT1G05080,0,2,0,1,0,1
AT1G05085,0,0,0,0,0,1
AT1G05090,291,308,414,284,250,286
AT1G05100,90,85,137,180,193,202
AT1G05120,2986,2674,3680,3069,2363,2633
AT1G05136,2,10,3,6,2,4
AT1G05140,551,506,833,610,613,538
AT1G05150,3919,3699,4871,3890,3276,3253
AT1G05160,1104,882,1248,952,991,693
AT1G05170,1196,1215,1856,1105,1098,1297
AT1G05180,4998,4416,5313,4307,4330,3554
AT1G05190,1167,1139,1195,1010,986,703
AT1G05200,875,668,1167,2766,1960,2023
AT1G05205,3458,2995,3802,3607,3540,2722
AT1G05210,1206,1042,1318,950,1039,855
AT1G05220,655,770,781,748,918,569
AT1G05230,372,325,413,375,368,346
AT1G05240,15,27,34,39,17,36
AT1G05250,9,15,37,53,23,22
AT1G05260,7592,8460,13617,9867,7699,10315
AT1G05270,3216,2844,3847,3166,2611,2452
AT1G05280,956,1056,1724,1227,1495,1711
AT1G05290,0,0,0,1,5,1
AT1G05291,0,0,0,0,2,0
AT1G05300,941,1052,2349,1432,1271,1874
AT1G05310,62,68,335,70,72,266
AT1G05320,1578,1906,3012,2104,1585,2065
AT1G05330,6,12,11,15,6,7
AT1G05340,1559,1100,1387,2029,862,674
AT1G05350,3862,4227,4559,3390,3686,3277
AT1G05360,1940,1764,2589,1790,1591,1786
AT1G05370,465,406,498,275,243,206
AT1G05380,3441,3292,4694,3357,2495,3363
AT1G05385,230,213,242,250,388,155
AT1G05390,0,0,0,0,0,0
AT1G05400,240,170,303,239,191,200
AT1G05410,1914,1963,2328,1553,1678,1504
AT1G05420,83,46,126,81,86,82
AT1G05430,1883,2027,2131,1741,1792,1621
AT1G05440,484,509,497,318,282,272
AT1G05450,134,147,257,104,37,81
AT1G05460,1184,990,1240,1079,920,1031
AT1G05470,1684,1089,2010,1172,990,1308
AT1G05490,268,290,250,202,188,162
AT1G05500,4282,4289,5572,4654,4342,4009
AT1G05510,35,35,33,17,30,17
AT1G05520,6353,5859,8338,5729,4837,5645
AT1G05530,468,343,436,273,191,176
AT1G05540,28,43,70,29,40,29
AT1G05550,1,3,2,4,0,6
AT1G05560,363,413,766,533,443,445
AT1G05562,283,368,643,432,392,401
AT1G05570,7506,5946,9006,6384,3049,5207
AT1G05575,310,330,452,710,521,539
AT1G05577,235,190,123,202,149,111
AT1G05580,0,0,0,0,0,0
AT1G05590,1113,1132,1482,1052,861,951
AT1G05600,440,449,555,452,430,288
AT1G05610,74,47,96,64,77,61
AT1G05615,1,0,0,0,0,0
AT1G05620,4846,5400,7053,11974,11440,10792
AT1G05630,1315,1444,1714,1043,951,1127
AT1G05640,572,486,681,364,309,401
AT1G05650,272,286,442,310,158,215
AT1G05660,927,770,907,1235,749,772
AT1G05670,983,937,1063,678,750,716
AT1G05675,27,44,50,22,17,52
AT1G05680,569,581,1118,903,1044,1333
AT1G05690,142,144,152,139,123,67
AT1G05700,4725,4153,4524,5639,1693,1991
AT1G05710,3617,3058,4468,2386,2129,1924
AT1G05720,3531,3159,3659,3005,3083,2300
AT1G05730,1681,1648,2000,1373,1504,1239
AT1G05740,4,10,8,5,2,10
AT1G05750,1213,1111,1637,1171,1540,1269
AT1G05760,823,716,1184,820,1245,913
AT1G05770,195,120,199,173,193,184
AT1G05780,996,955,1156,849,776,689
AT1G05785,1008,1000,1259,1351,1388,957
AT1G05790,1490,1357,1676,1761,1525,1364
AT1G05800,0,0,0,2,0,0
AT1G05805,1642,1619,2090,2349,1950,1927
AT1G05810,821,789,1038,1169,916,768
AT1G05820,246,207,297,266,233,244
AT1G05830,4255,3519,4820,3536,3049,3634
AT1G05835,226,131,189,151,120,104
AT1G05840,2548,2029,2535,2489,2329,1913
AT1G05850,21666,18731,28494,20706,17383,19457
AT1G05860,1232,1190,1444,1075,1101,915
AT1G05870,3184,3332,4308,2438,3152,2688
AT1G05880,104,115,70,96,26,35
AT1G05890,6718,5699,6988,7371,6169,5555
AT1G05894,60,60,60,91,55,50
AT1G05900,572,486,698,594,564,617
AT1G05910,4100,3581,5085,3267,2392,3450
AT1G05920,0,0,0,0,0,0
AT1G05925,0,0,0,0,0,0
AT1G05930,0,4,3,4,2,4
AT1G05940,3169,2444,3389,3241,2523,2447
AT1G05950,854,951,1006,704,591,653
AT1G05960,6044,5475,7890,5991,5332,5679
AT1G05970,513,611,512,485,604,389
AT1G05980,0,0,1,0,0,0
AT1G05990,58,61,117,101,47,111
AT1G06000,5288,5497,12521,7336,9690,15276
AT1G06002,3378,3440,8093,4747,5831,10132
AT1G06010,1455,1532,1621,1750,2435,1422
AT1G06020,41,12,50,39,32,32
AT1G06030,36,60,67,46,38,23
AT1G06040,7623,5223,9347,2899,7290,7172
AT1G06050,441,376,522,486,408,429
AT1G06060,1511,1304,1792,1348,1336,1209
AT1G06070,2709,2727,3443,2609,2812,2601
AT1G06080,935,592,550,398,203,192
AT1G06090,530,783,2062,923,667,1597
AT1G06100,8,9,2,2,9,0
AT1G06110,3955,3380,3815,3778,3849,2857
AT1G06120,95,69,159,109,53,92
AT1G06130,2364,1911,2510,2575,2469,1817
AT1G06135,14,4,14,21,12,9
AT1G06137,5,0,0,0,2,1
AT1G06140,180,163,209,131,112,131
AT1G06148,26,18,20,23,22,15
AT1G06149,3413,2852,4329,2685,2376,2692
AT1G06150,3729,3122,4689,2962,2618,2912
AT1G06160,285,198,339,538,248,165
AT1G06170,59,58,66,45,68,35
AT1G06180,1572,1357,1869,2390,2389,2213
AT1G06190,2147,1879,2227,1874,1863,1602
AT1G06200,4575,4120,4734,4858,4803,3565
AT1G06210,3667,4002,4900,4136,3702,3591
AT1G06220,9508,8189,10743,7173,6046,7382
AT1G06225,2,2,6,0,0,2
AT1G06230,5816,4848,6746,5230,4163,4864
AT1G06240,863,920,1107,773,829,763
AT1G06250,171,198,160,148,201,158
AT1G06260,126,113,125,59,122,117
AT1G06265,281,277,288,183,331,225
AT1G06270,660,692,741,530,514,466
AT1G06280,0,0,0,0,2,0
AT1G06290,7097,6555,8944,7836,5650,6818
AT1G06310,485,387,417,214,250,268
AT1G06320,121,142,188,70,81,73
AT1G06330,183,125,183,69,59,95
AT1G06340,2,2,1,2,0,2
AT1G06350,519,674,480,338,206,193
AT1G06360,6,1,4,14,0,1
AT1G06380,1267,1452,1572,896,1137,854
AT1G06390,6438,5908,7142,6480,6502,5451
AT1G06400,4719,3989,5182,5063,4559,3715
AT1G06410,7794,7594,10128,8606,5825,7267
AT1G06420,316,326,306,236,242,175
AT1G06430,2038,1773,2696,1899,1738,2004
AT1G06440,378,346,450,273,248,316
AT1G06450,451,409,669,383,277,350
AT1G06460,311,206,316,357,220,218
AT1G06470,2957,2838,3994,2782,2340,2679
AT1G06475,384,280,385,260,254,205
AT1G06480,0,0,0,0,0,0
AT1G06490,2200,1509,2262,1772,1415,1618
AT1G06500,1053,932,1343,1043,1178,758
AT1G06510,634,596,755,629,701,490
AT1G06515,2370,2605,2953,1977,2546,1802
AT1G06520,644,581,919,538,338,400
AT1G06530,3451,3625,4523,3472,2935,2924
AT1G06540,82,89,163,61,93,104
AT1G06550,11170,10134,17451,12190,11020,13250
AT1G06560,2369,2311,2441,1780,2044,1661
AT1G06570,1512,1150,1720,2150,1751,1509
AT1G06580,340,317,336,301,309,272
AT1G06590,2398,2071,2546,1913,1794,1864
AT1G06610,0,0,0,0,0,0
AT1G06620,4011,4116,5893,21566,14181,13516
AT1G06630,3317,3167,3938,3967,3951,2941
AT1G06640,17815,14001,22270,38203,39024,31644
AT1G06645,36,33,39,442,323,330
AT1G06650,1712,1308,1889,2644,1778,1603
AT1G06660,1242,1176,1039,916,916,653
AT1G06670,8069,7237,8600,5710,4918,6194
AT1G06680,1543,1263,1903,1995,1616,1484
AT1G06690,375,400,649,323,259,445
AT1G06700,5751,5567,6560,5311,5270,4382
AT1G06710,946,843,1146,645,669,601
AT1G06720,6552,5981,7180,4267,3998,4516
AT1G06730,1210,1295,1618,1212,1292,1086
AT1G06750,223,193,239,205,165,143
AT1G06760,19407,16762,22227,17395,14941,14964
