,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT1G01010,2042.56801129515,1631.19269396688,2265.80180612538,2430.98541495112,1839.82978356885,2230.05953650179
AT1G01020,1636.87313275797,1771.0721484799,1593.79896904514,1801.90592389846,2529.115192014,1766.7507685305
AT1G01030,151.003056527488,253.324996362175,315.395574349301,147.843602786823,182.212910087464,267.68951038341
AT1G01040,3195.22467612164,2862.57245889258,3582.89372460806,3723.87276012716,2518.70302572328,3951.5090032751
AT1G01046,70.4680930461609,46.2593471617885,96.7213094671191,66.4800093068264,46.8547483082049,91.632178554321
AT1G01050,9085.35056773717,8993.03737085722,7868.0682614339,8869.6239282645,9722.88088226706,7729.01982480099
AT1G01060,2528.79785331366,2265.60659789998,2351.58940234839,2200.78597973942,1833.58248379442,2066.35710515194
AT1G01070,1616.73939188763,823.8569446909,1030.29220954105,1715.58113569407,1273.4079373541,2002.52345267589
AT1G01073,0,0,0,0,0,0
AT1G01080,671.460258025562,601.371513103251,687.141824649011,795.775633792161,756.964489334777,871.020483786018
AT1G01090,11855.7533114948,12194.8450422696,13916.0937951561,10562.3835682264,11725.140459971,10541.8188339067
AT1G01100,33128.0572280437,37635.283155198,26410.804868578,31375.5876759874,52663.6958817933,27720.278375242
AT1G01110,1430.50228883707,1469.28497890062,1217.00638955584,1257.16674316043,1248.41873825639,1260.1998488819
AT1G01115,0,0,0,0,0,0
AT1G01120,3073.41554385613,3383.54082097653,4293.58508547515,4752.82454596565,3987.85968934278,4944.01934177359
AT1G01130,360.393961578937,326.018256187843,340.627220297245,392.926622171691,342.560270964432,358.292113897795
AT1G01140,296.972677837392,307.294234717595,267.455447048207,596.335605871682,411.280568483132,410.80044093454
AT1G01150,42.2808558276965,18.7240214702477,19.3442618934238,9.92238944878007,8.32973303256976,14.4140505591067
AT1G01160,3544.54508022189,3546.54994907045,3157.31996295274,3611.74975935594,4495.97340432953,3524.23536170158
AT1G01170,795.282764378101,730.236837339662,888.153937367632,710.443084532653,984.990931101375,780.417880271633
AT1G01180,430.862054625098,422.942602622067,439.871694359159,254.01316988877,235.314958170096,255.334609904175
AT1G01183,3.02006113054975,3.30423908298489,6.72843891945176,5.95343366926804,1.04121662907122,7.20702527955334
AT1G01190,618.105844719183,312.801299855903,686.30076978408,273.85794878633,115.575045826905,118.401129592662
AT1G01200,644.279707850614,709.309989814091,709.850306002161,604.273517430706,651.801609798584,680.549101397822
AT1G01210,1638.886506845,1551.89095597524,1466.79968444048,1707.64322413505,2193.84343745306,1624.66941301931
AT1G01220,2428.129148962,2528.84431151111,2378.5031580262,2274.21166166039,1784.64530222807,2103.42180658964
AT1G01225,579.851737065552,514.359883917982,565.188869233948,851.34101470533,720.521907317285,821.600881869081
AT1G01230,2594.23251114224,2697.36050474334,2564.37628317605,2681.02962906037,3008.07484138676,2307.277664497
AT1G01240,835.550246118765,830.46542285687,777.97575006161,1244.26763687702,917.311850211745,1032.663765056
AT1G01250,0,2.20282605532326,1.68210972986294,0,2.08243325814244,0
AT1G01260,2290.21302400023,2282.1277933149,2619.88590426153,2241.46777647942,1896.05548153869,2341.2536408149
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1.10141302766163,0,2.97671683463402,0,0
AT1G01290,1530.16430614521,1736.92834462239,1496.23660471309,1396.08019544336,1871.06628244098,1440.37548087073
